year,player,team,games,points,assists,blocks,rebounds
2010,Mike Conley,Memphis Grizzlies,80,959,425,12,191
2010,Will Conroy,Houston Rockets,5,6,7,0,3
2010,Brian Cook,Houston Rockets,15,21,1,2,9
2010,Daequan Cook,Miami Heat,45,223,43,10,82
2010,Jamal Crawford,Atlanta Hawks,79,1425,238,12,201
2010,Dante Cunningham,Portland Trail Blazers,63,243,14,22,160
2010,Eddy Curry,New York Knicks,7,26,0,1,13
2010,JamesOn Curry,Los Angeles Clippers,1,0,0,0,0
2010,Stephen Curry,Golden State Warriors,80,1399,472,19,356
2010,Samuel Dalembert,Philadelphia 76ers,82,667,64,151,784
2010,Erick Dampier,Dallas Mavericks,55,328,31,77,400
2010,Marquis Daniels,Boston Celtics,51,288,66,6,95
2010,Baron Davis,Los Angeles Clippers,75,1145,598,43,266
2010,Glen Davis,Boston Celtics,54,340,35,14,205
2010,Paul Davis,Washington Wizards,2,5,3,1,0
2010,Ricky Davis,Los Angeles Clippers,36,158,39,3,57
2010,Austin Daye,Detroit Pistons,69,349,34,26,174
2010,Carlos Delfino,Milwaukee Bucks,75,825,202,21,394
2010,Luol Deng,Chicago Bulls,70,1230,143,61,512
2010,DeMar DeRozan,Toronto Raptors,77,662,53,18,223
2010,Boris Diaw,Charlotte Hornets,82,925,325,57,424
2010,Yakhouba Diawara,Miami Heat,6,5,3,0,4
2010,Travis Diener,Indiana Pacers,4,3,4,0,2
2010,Travis Diener,Portland Trail Blazers,5,3,4,0,1
2010,DeSagana Diop,Charlotte Hornets,27,32,5,14,65
2010,Keyon Dooling,New Jersey Nets,53,364,135,0,54
2010,Joey Dorsey,Houston Rockets,7,11,2,1,25
2010,Joey Dorsey,Sacramento Kings,8,12,0,1,18
2010,Toney Douglas,New York Knicks,56,481,112,3,108
2010,Chris Douglas-Roberts,New Jersey Nets,67,657,93,19,198
2010,Goran Dragic,Phoenix Suns,80,635,241,8,171
2010,Jared Dudley,Phoenix Suns,82,674,115,16,281
2010,Chris Duhon,New York Knicks,67,494,378,3,178
2010,Tim Duncan,San Antonio Spurs,78,1395,246,117,788
2010,Mike Dunleavy,Indiana Pacers,67,666,103,15,236
2010,Kevin Durant,Oklahoma City Thunder,82,2472,231,84,623
2010,Wayne Ellington,Minnesota Timberwolves,76,505,74,5,159
2010,Monta Ellis,Golden State Warriors,64,1631,340,25,257
2010,Francisco Elson,Milwaukee Bucks,11,10,2,0,13
2010,Francisco Elson,Philadelphia 76ers,1,2,0,0,1
2010,Maurice Evans,Atlanta Hawks,79,453,48,17,154
2010,Reggie Evans,Toronto Raptors,28,95,8,4,105
2010,Tyreke Evans,Sacramento Kings,72,1450,414,26,380
2010,Jordan Farmar,Los Angeles Lakers,82,591,127,11,131
2010,Raymond Felton,Charlotte Hornets,80,968,446,22,288
2010,Rudy Fernandez,Portland Trail Blazers,62,503,127,11,164
2010,Kyrylo Fesenko,Utah Jazz,49,128,15,19,90
2010,Michael Finley,San Antonio Spurs,25,93,19,4,38
2010,Michael Finley,Boston Celtics,21,109,24,2,33
2010,Derek Fisher,Los Angeles Lakers,82,615,201,9,170
2010,Jonny Flynn,Minnesota Timberwolves,81,1094,356,2,191
2010,T.J. Ford,Indiana Pacers,47,484,180,11,149
2010,Jeff Foster,Indiana Pacers,16,49,21,4,81
2010,Randy Foye,Washington Wizards,70,704,228,10,130
2010,Channing Frye,Phoenix Suns,81,904,113,74,427
2010,Dan Gadzuric,Milwaukee Bucks,32,88,12,13,92
2010,Sundiata Gaines,Utah Jazz,32,106,39,0,29
2010,Danilo Gallinari,New York Knicks,81,1221,135,58,398
2010,Francisco Garcia,Sacramento Kings,25,202,45,19,66
2010,Kevin Garnett,Boston Celtics,69,990,185,57,506
2010,Marc Gasol,Memphis Grizzlies,69,1008,165,109,640
2010,Pau Gasol,Los Angeles Lakers,65,1190,218,113,734
2010,Rudy Gay,Memphis Grizzlies,80,1567,153,64,472
2010,Alonzo Gee,Washington Wizards,11,81,7,1,33
2010,Devean George,Golden State Warriors,45,242,32,10,114
2010,Daniel Gibson,Cleveland Cavaliers,56,355,70,7,73
2010,Taj Gibson,Chicago Bulls,82,735,70,104,611
2010,J.R. Giddens,Boston Celtics,21,24,6,1,20
2010,J.R. Giddens,New York Knicks,11,45,7,1,31
2010,Trey Gilder,Memphis Grizzlies,2,2,0,0,1
2010,Manu Ginobili,San Antonio Spurs,75,1237,370,24,284
2010,Ryan Gomes,Minnesota Timberwolves,76,832,124,16,348
2010,Drew Gooden,Dallas Mavericks,46,408,26,50,316
2010,Drew Gooden,Los Angeles Clippers,24,355,21,8,226
2010,Ben Gordon,Detroit Pistons,62,855,166,6,119
2010,Eric Gordon,Los Angeles Clippers,62,1045,186,14,160
2010,Marcin Gortat,Orlando Magic,81,293,17,70,341
2010,Joey Graham,Denver Nuggets,63,266,22,7,123
2010,Stephen Graham,Charlotte Hornets,70,296,23,10,135
2010,Danny Granger,Indiana Pacers,62,1497,171,51,342
2010,Aaron Gray,Chicago Bulls,8,18,2,0,16
2010,Aaron Gray,New Orleans Hurricanes,24,86,20,11,90
2010,Danny Green,Cleveland Cavaliers,20,40,5,3,17
2010,Jeff Green,Oklahoma City Thunder,82,1239,134,72,490
2010,Willie Green,Philadelphia 76ers,73,638,152,11,129
2010,Donte Greene,Sacramento Kings,76,647,71,53,234
2010,Taylor Griffin,Phoenix Suns,8,10,1,2,2
2010,Hamed Haddadi,Memphis Grizzlies,36,62,10,14,75
2010,Malik Hairston,San Antonio Spurs,47,99,16,9,49
2010,Marcus Haislip,San Antonio Spurs,10,25,0,2,10
2010,Richard Hamilton,Detroit Pistons,46,831,202,3,122
