year,player,team,games,points,assists,blocks,rebounds
2000,Dell Curry,Toronto Raptors,67,507,89,9,100
2000,Michael Curry,Detroit Pistons,82,506,87,5,104
2000,Erick Dampier,Golden State Warriors,21,167,19,15,134
2000,Antonio Daniels,San Antonio Spurs,68,420,177,5,86
2000,Kornel David,Chicago Bulls,26,168,16,2,73
2000,Kornel David,Cleveland Cavaliers,6,11,1,1,8
2000,Antonio Davis,Toronto Raptors,79,910,105,100,696
2000,Baron Davis,Chicago Hustle,82,486,309,19,165
2000,Ben Davis,Phoenix Suns,5,4,2,1,9
2000,Dale Davis,Indiana Pacers,74,743,64,94,729
2000,Emanual Davis,Seattle Supersonics,54,217,70,5,100
2000,Hubert Davis,Dallas Mavericks,79,583,141,3,134
2000,Mark Davis,Golden State Warriors,23,143,38,4,84
2000,Ricky Davis,Chicago Hustle,48,227,62,8,83
2000,Todd Day,Phoenix Suns,58,396,65,22,129
2000,Andrew DeClercq,Cleveland Cavaliers,82,544,58,66,439
2000,Vinny Del,Milwaukee Bucks,67,349,160,0,107
2000,Tony Delk,Sacramento Kings,46,296,55,5,88
2000,Derrick Dial,San Antonio Spurs,8,40,5,1,26
2000,Michael Dickerson,Vancouver Grizzlies,82,1496,208,45,279
2000,Vlade Divac,Sacramento Kings,82,1005,244,103,656
2000,Michael Doleac,Orlando Magic,81,565,63,34,334
2000,Sherman Douglas,New Jersey Nets,20,120,34,0,29
2000,Bryce Drew,Houston Rockets,72,420,162,1,103
2000,Chris Dudley,New York Knicks,47,55,5,21,136
2000,Tim Duncan,San Antonio Spurs,74,1716,234,165,918
2000,Howard Eisley,Utah Jazz,82,708,347,9,170
2000,Obinna Ekezie,Vancouver Grizzlies,39,125,8,4,92
2000,Mario Elie,San Antonio Spurs,79,590,193,9,249
2000,Sean Elliott,San Antonio Spurs,19,114,28,2,47
2000,Dale Ellis,Milwaukee Bucks,18,123,6,0,34
2000,Dale Ellis,Chicago Hustle,24,55,8,0,22
2000,LaPhonso Ellis,Atlanta Hawks,58,487,59,25,290
2000,Pervis Ellison,Boston Celtics,30,53,13,8,67
2000,Evan Eschmeyer,New Jersey Nets,31,91,21,21,108
2000,Patrick Ewing,New York Knicks,62,929,58,84,604
2000,Tony Farmer,Golden State Warriors,74,465,74,16,295
2000,Jamie Feick,New Jersey Nets,81,459,68,38,755
2000,Danny Ferry,Cleveland Cavaliers,63,463,67,24,238
2000,Michael Finley,Dallas Mavericks,82,1855,438,32,518
2000,Derek Fisher,Los Angeles Lakers,78,491,216,3,143
2000,Danny Fortson,Boston Celtics,55,419,29,5,366
2000,Greg Foster,Seattle Supersonics,60,203,41,18,107
2000,Jeff Foster,Indiana Pacers,19,43,5,1,32
2000,Rick Fox,Los Angeles Lakers,82,534,138,26,198
2000,Adonal Foyle,Golden State Warriors,76,420,42,136,424
2000,Steve Francis,Houston Rockets,77,1388,507,29,409
2000,Todd Fuller,Chicago Hustle,41,134,5,8,110
2000,Lawrence Funderburke,Sacramento Kings,75,483,33,20,234
