name,yearOfBirth,birthCity,birthState,college
David Wingate,1963,Baltimore,Maryland,Georgetown University
Mark Davis,1963,Chesapeake,Virginia,Old Dominion University
Vinny Del,1963,,,
Sam Mitchell,1963,Columbus,Georgia,Mercer University
Mario Elie,1963,New York,New York,American International College
Rashard Lewis,1963,Philadelphia,Pennsylvania,La Salle University
Benoit Benjamin,1964,Monroe,Louisiana,Creighton University
Dell Curry,1964,Harrisonburg,Virginia,Virginia Polytechnic Institute and State University
Ron Harper,1964,Dayton,Ohio,Miami University
Chuck Person,1964,Brantley,Alabama,Auburn University
John Salley,1964,Brooklyn,New York,Georgia Institute of Technology
Armen Gilliam,1964,Pittsburgh,Pennsylvania,"University of Nevada, Las Vegas"
Olden Polynice,1964,Port-au-Prince,Haiti,University of Virginia
Reggie Williams,1964,Baltimore,Maryland,Georgetown University
Arvydas Sabonis,1964,Kaunas,Lithuania,
Kemba Walker,1964,Roberta,Georgia,University of Kentucky
Cedric Henderson,1965,Marietta,Georgia,University of Georgia
Muggsy Bogues,1965,Baltimore,Maryland,Wake Forest University
Horace Grant,1965,Augusta,Georgia,Clemson University
Mark Jackson,1965,Brooklyn,New York,St. John's University
Reggie Miller,1965,Riverside,California,"University of California, Los Angeles"
Scottie Pippen,1965,Hamburg,Arkansas,University of Central Arkansas
Mark Bryant,1965,Glen Ridge,New Jersey,Seton Hall University
Kevin Edwards,1965,Cleveland Heights,Ohio,DePaul University
Gary Grant,1965,Canton,Ohio,University of Michigan
Avery Johnson,1965,New Orleans,Louisiana,Southern University and A&M College
Steve Kerr,1965,Beirut,Lebanon,University of Arizona
Dan Majerle,1965,Traverse City,Michigan,Central Michigan University
Vernon Maxwell,1965,Gainesville,Florida,University of Florida
Will Perdue,1965,Melbourne,Florida,Vanderbilt University
Mitch Richmond,1965,Fort Lauderdale,Florida,Kansas State University
Charles Smith,1965,Bridgeport,Connecticut,University of Pittsburgh
John Starks,1965,Tulsa,Oklahoma,Oklahoma State University
David Robinson,1965,Key West,Florida,United States Naval Academy
Michael Smith,1965,Rochester,New York,Brigham Young University
Randy Brown,1965,Atlanta,Georgia,University of Idaho
Chris Smith,1965,Bridgeport,Connecticut,University of Pittsburgh
Ray Allen,1965,Milton,Florida,Florida State University
Marc Jackson,1965,Brooklyn,New York,St. John's University
Mike Smith,1965,Rochester,New York,Brigham Young University
Derrick McKey,1966,Meridian,Mississippi,University of Alabama
Hersey Hawkins,1966,Chicago,Illinois,Bradley University
Andrew Lang,1966,Pine Bluff,Arkansas,University of Arkansas
Grant Long,1966,Wayne,Michigan,Eastern Michigan University
Danny Manning,1966,Hattiesburg,Mississippi,University of Kansas
Brian Shaw,1966,Oakland,California,"University of California, Santa Barbara"
Rik Smits,1966,Eindhoven,Netherlands,Marist College
Sherman Douglas,1966,Washington,District of Columbia,Syracuse University
Tim Hardaway,1966,Chicago,Illinois,University of Texas at El Paso
Tim Legler,1966,Washington,District of Columbia,La Salle University
Anthony Mason,1966,Miami,Florida,Tennessee State University
J.R. Reid,1966,,,
Haywoode Workman,1966,Charlotte,North Carolina,Oral Roberts University
Danny Ferry,1966,Hyattsville,Maryland,Duke University
Dikembe Mutombo,1966,Kinshasa,Democratic Republic of the Congo,Georgetown University
Ervin Johnson,1966,Brooklyn,New York,University of Nebraska
