name,yearOfBirth,birthCity,birthState,college
Obinna Ekezie,1975,Port Harcourt,Nigeria,University of Maryland
Evan Eschmeyer,1975,New Knoxville,Ohio,Northwestern University
Chris Herren,1975,Fall River,Massachusetts,"California State University, Fresno"
Jason Miskiri,1975,Georgetown,Guyana,George Mason University
Mark Blount,1975,Dobbs Ferry,New York,University of Pittsburgh
Sean Colson,1975,Philadelphia,Pennsylvania,University of North Carolina at Charlotte
Zendon Hamilton,1975,Floral Park,New York,St. John's University
Lee Nailon,1975,South Bend,Indiana,Texas Christian University
Ira Newble,1975,Southfield,Michigan,Miami University
Mengke Bateer,1975,Beijing,China,
Predrag Drobnjak,1975,Bijelo Polje,Montenegro,
Isaac Fontaine,1975,Sacramento,California,Washington State University
Mike James,1975,Copaigue,New York,Duquesne University
Maceo Baston,1975,Corsicana,Texas,University of Michigan
Nate Huffman,1975,Battle Creek,Michigan,Central Michigan University
Brandin Knight,1975,Livingston,New Jersey,Stanford University
Billy Thomas,1975,Shreveport,Louisiana,University of Kansas
Fabricio Oberto,1975,Las Varillas,Argentina,
Shawne Williams,1975,Bronx,New York,University of North Carolina
Shelden Williams,1975,Bronx,New York,University of North Carolina
Dominique Jones,1975,Nashville,Tennessee,Mississippi State University
Brandon Knight,1975,Livingston,New Jersey,Stanford University
Kevin Garnett,1976,Mauldin,South Carolina,
Shareef Abdur-Rahim,1976,Marietta,Georgia,University of California
Samaki Walker,1976,Columbus,Ohio,University of Louisville
Tony Battie,1976,Dallas,Texas,Texas Tech University
Chauncey Billups,1976,Denver,Colorado,University of Colorado
Keith Closs,1976,Hartford,Connecticut,Central Connecticut State University
Tim Duncan,1976,St. Croix,U.S. Virgin Islands,Wake Forest University
Danny Fortson,1976,Philadelphia,Pennsylvania,University of Cincinnati
Troy Hudson,1976,Carbondale,Illinois,Southern Illinois University
Ron Mercer,1976,Nashville,Tennessee,University of Kentucky
Maurice Taylor,1976,Detroit,Michigan,University of Michigan
Earl Boykins,1976,Cleveland,Ohio,Eastern Michigan University
Pat Garrity,1976,Las Vegas,Nevada,University of Notre Dame
Matt Harpring,1976,Cincinnati,Ohio,Georgia Institute of Technology
Antawn Jamison,1976,Shreveport,Louisiana,University of North Carolina
Damon Jones,1976,Galveston,Texas,University of Houston
Raef LaFrentz,1976,Hampton,Iowa,University of Kansas
Brad Miller,1976,Fort Wayne,Indiana,Purdue University
Tyrone Nesby,1976,Cairo,Illinois,"University of Nevada, Las Vegas"
Rasho Nesterovic,1976,Ljubljana,Slovenia,
Brian Skinner,1976,Temple,Texas,Baylor University
Vladimir Stepania,1976,Georgia,,
Bonzi Wells,1976,Muncie,Indiana,Ball State University
Jahidi White,1976,St. Louis,Missouri,Georgetown University
Rafer Alston,1976,New York,New York,"California State University, Fresno"
Calvin Booth,1976,Reynoldsburg,Ohio,Pennsylvania State University
Greg Buckner,1976,Hopkinsville,Kentucky,Clemson University
Vonteego Cummings,1976,Thomson,Georgia,University of Pittsburgh
Derek Hood,1976,Kansas City,Missouri,University of Arkansas
Jermaine Jackson,1976,Detroit,Michigan,University of Detroit Mercy
Tim James,1976,Miami,Florida,University of Miami
Harold Jamison,1976,Orangeburg,South Carolina,Clemson University
Trajan Langdon,1976,Palo Alto,California,Duke University
Todd MacCulloch,1976,Winnipeg,Canada,University of Washington
Scott Padgett,1976,Louisville,Kentucky,University of Kentucky
Aleksandar Radojevic,1976,Herceg Novi,Montenegro,Barton County Community College
Ryan Robertson,1976,Lawton,Oklahoma,University of Kansas
Eddie Robinson,1976,Flint,Michigan,University of Central Oklahoma
Mirsad Turkcan,1976,Novi Pazar,Serbia,
Wayne Turner,1976,Boston,Massachusetts,University of Kentucky
Tim Young,1976,Santa Cruz,California,Stanford University
Raja Bell,1976,St. Croix,U.S. Virgin Islands,Florida International University
Steve Goodrich,1976,Philadelphia,Pennsylvania,Princeton University
A.J. Guyton,1976,,,
Mark Madsen,1976,Walnut Creek,California,Stanford University
Hanno Mottola,1976,Helsinki,Finland,University of Utah
Eduardo Najera,1976,Meoqui,Mexico,University of Oklahoma
Terrance Roberson,1976,Saginaw,Michigan,"California State University, Fresno"
Daniel Santiago,1976,Lubbock,Texas,Saint Vincent College
Tremaine Fowlkes,1976,Los Angeles,California,"California State University, Fresno"
Ansu Sesay,1976,Greensboro,North Carolina,University of Mississippi
Oscar Torres,1976,Caracas,Venezuela,
Efthimi Rentzias,1976,Trikala,Greece,
Predrag Savovic,1976,Pula,Croatia,University of Hawaii
Torraye Braggs,1976,Fresno,California,Xavier University
Maurice Carter,1976,Jackson,Mississippi,Louisiana State University
Francisco Elson,1976,Rotterdam,Netherlands,University of California
Dahntay Jones,1976,Galveston,Texas,University of Houston
Geno Carlisle,1976,Grand Rapids,Michigan,University of California
Sarunas Jasikevicius,1976,Kaunas,Lithuania,University of Maryland
James White,1976,St. Louis,Missouri,Georgetown University
Damian Jones,1976,Galveston,Texas,University of Houston
Stephon Marbury,1977,Brooklyn,New York,Georgia Institute of Technology
Tim Thomas,1977,Paterson,New Jersey,Villanova University
Keith Van,1977,,,
Vince Carter,1977,Daytona Beach,Florida,University of North Carolina
Michael Doleac,1977,San Antonio,Texas,University of Utah
Tyronn Lue,1977,Mexico,Missouri,University of Nebraska
Jelani McCoy,1977,Oakland,California,"University of California, Los Angeles"
Nazr Mohammed,1977,Chicago,Illinois,University of Kentucky
Paul Pierce,1977,Oakland,California,University of Kansas
Peja Stojakovic,1977,Slavoska Pozega ,Croatia,
Robert Traylor,1977,Detroit,Michigan,University of Michigan
Cal Bowdler,1977,Sharps,Virginia,Old Dominion University
Rodney Buford,1977,Milwaukee,Wisconsin,Creighton University
John Celestand,1977,Houston,Texas,Villanova University
Jeff Foster,1977,San Antonio,Texas,Texas State University
Steve Francis,1977,Silver Spring,Maryland,University of Maryland
Devean George,1977,Minneapolis,Minnesota,Augsburg College
Lari Ketner,1977,Philadelphia,Pennsylvania,University of Massachusetts Amherst
Quincy Lewis,1977,Little Rock,Arkansas,University of Minnesota
James Posey,1977,Cleveland,Ohio,Xavier University
Laron Profit,1977,Charleston,South Carolina,University of Maryland
Michael Ruffin,1977,Denver,Colorado,University of Tulsa
Jason Terry,1977,Seattle,Washington,University of Arizona
Kenny Thomas,1977,Atlanta,Georgia,University of New Mexico
Brian Cardinal,1977,Tolono,Illinois,Purdue University
Mateen Cleaves,1977,Flint,Michigan,Michigan State University
Dan Langhi,1977,Chicago,Illinois,Vanderbilt University
Kenyon Martin,1977,Saginaw,Michigan,University of Cincinnati
Desmond Mason,1977,Waxahachie,Texas,Oklahoma State University
Dan McClintock,1977,Fountain Valley,California,Northern Arizona University
Andy Panko,1977,Harrisburg,Pennsylvania,Lebanon Valley College
Morris Peterson,1977,Flint,Michigan,Michigan State University
Pepe Sanchez,1977,Bahia Blanca,Argentina,Temple University
Jabari Smith,1977,Atlanta,Georgia,Louisiana State University
Jake Voskuhl,1977,Tulsa,Oklahoma,University of Connecticut
Wang Zhizhi,1977,Beijing,China,
Mike Batiste,1977,Long Beach,California,Arizona State University
Manu Ginobili,1977,Bahia Blanca,Argentina,
Gordan Giricek,1977,Zagreb,Croatia,
Guy Rucker,1977,Inkster,Michigan,University of Iowa
Paul Shirley,1977,Meriden,Kansas,Iowa State University
Desmond Ferguson,1977,Lansing,Michigan,University of Detroit Mercy
T.J. Ford,1977,,,
Richie Frahm,1977,Battle Ground,Washington,Gonzaga University
Ime Udoka,1977,Portland,Oregon,Portland State University
Kevin Martin,1977,Saginaw,Michigan,University of Cincinnati
Awvee Storey,1977,Chicago,Illinois,Arizona State University
Boniface N'Dong,1977,Dakar,Senegal,
Jorge Garbajosa,1977,Madrid,Spain,
Jason Smith,1977,Atlanta,Georgia,Louisiana State University
D.J. Strawberry,1977,,,
Pablo Prigioni,1977,Rio Tercero,Argentina,
Kobe Bryant,1978,Philadelphia,Pennsylvania,
Jermaine O'Neal,1978,Columbia,South Carolina,
Corey Benjamin,1978,Compton,California,Oregon State University
Mike Bibby,1978,Cherry Hill,New Jersey,University of Arizona
Dirk Nowitzki,1978,Wurzburg,Germany,
Dion Glover,1978,Marietta,Georgia,Georgia Institute of Technology
Richard Hamilton,1978,Coatesville,Pennsylvania,University of Connecticut
Shawn Marion,1978,Waukegan,Illinois,"University of Nevada, Las Vegas"
Milt Palacio,1978,Los Angeles,California,Colorado State University
Erick Barkley,1978,Queens,New York,St. John's University
Marcus Fizer,1978,Detroit,Michigan,Iowa State University
Eddie Gill,1978,Aurora,Colorado,Weber State University
Jason Hart,1978,Los Angeles,California,Syracuse University
Eddie House,1978,Berkeley,California,Arizona State University
Jamaal Magloire,1978,Toronto,Canada,University of Kentucky
Paul McPherson,1978,Chicago,Illinois,DePaul University
Jerome Moiso,1978,Paris,France,"University of California, Los Angeles"
Chris Porter,1978,Abbeville,Alabama,Auburn University
Lavor Postell,1978,Albany,Georgia,St. John's University
Soumaila Samake,1978,Bougouni,Mali,
Malik Allen,1978,Willingboro,New Jersey,Villanova University
Chris Andersen,1978,Long Beach,California,Blinn College
Shane Battier,1978,Birmingham,Michigan,Duke University
Ruben Boumtje-Boumtje,1978,Edda,Cameroon,Georgetown University
Speedy Claxton,1978,Queens,New York,Hofstra University
Maurice Evans,1978,Wichita,Kansas,University of Texas at Austin
Tang Hamilton,1978,Jackson,Mississippi,Mississippi State University
Alvin Jones,1978,Luxembourg,Luxembourg,Georgia Institute of Technology
Dean Oliver,1978,Quincy,Illinois,University of Iowa
Brian Scalabrine,1978,Long Beach,California,University of Southern California
Will Solomon,1978,Hartford,Connecticut,Clemson University
Etan Thomas,1978,Harlem,New York,Syracuse University
Jamaal Tinsley,1978,Brooklyn,New York,Iowa State University
Loren Woods,1978,St. Louis,Missouri,University of Arizona
Dan Dickau,1978,Portland,Oregon,Gonzaga University
Juan Dixon,1978,Baltimore,Maryland,University of Maryland
Melvin Ely,1978,Harvey,Illinois,"California State University, Fresno"
Dan Gadzuric,1978,Den Haag,Netherlands,"University of California, Los Angeles"
Marko Jaric,1978,Belgrade,Serbia,
Igor Rakocevic,1978,Belgrade,Serbia,
Kaniel Dickens,1978,Denver,Colorado,University of Idaho
Travis Hansen,1978,Provo,Utah,Brigham Young University
Darius Songaila,1978,Marijampole,Lithuania,Wake Forest University
Alex Scales,1978,Racine,Wisconsin,University of Oregon
Tracy McGrady,1979,Bartow,Florida,
Ricky Davis,1979,Las Vegas,Nevada,University of Iowa
Larry Hughes,1979,St. Louis,Missouri,Saint Louis University
William Avery,1979,Augusta,Georgia,Duke University
Elton Brand,1979,Cortlandt Manor,New York,Duke University
Baron Davis,1979,Los Angeles,California,"University of California, Los Angeles"
Jumaine Jones,1979,Cocoa,Florida,University of Georgia
Corey Maggette,1979,Melrose Park,Illinois,Duke University
Lamar Odom,1979,Jamaica,New York,University of Rhode Island
Khalid El-Amin,1979,Minneapolis,Minnesota,University of Connecticut
Stanislav Medvedenko,1979,Karapyshi,Ukraine,
Chris Mihm,1979,Milwaukee,Wisconsin,University of Texas at Austin
Joel Przybilla,1979,Monticello,Minnesota,University of Minnesota
Michael Redd,1979,Columbus,Ohio,Ohio State University
Stromile Swift,1979,Shreveport,Louisiana,Louisiana State University
Jake Tsakalidis,1979,Rustavi,Georgia,
Hedo Turkoglu,1979,Istanbul,Turkey,
Carlos Arroyo,1979,Fajardo,Puerto Rico,Florida International University
Charlie Bell,1979,Flint,Michigan,Michigan State University
Michael Bradley,1979,Worcester,Massachusetts,Villanova University
Primoz Brezec,1979,Postojna,Slovenia,
Ernest Brown,1979,Bronx,New York,Indian Hills Community College
Tierre Brown,1979,Iowa,Louisiana,McNeese State University
Joe Crispin,1979,Pitman,New Jersey,Pennsylvania State University
Trenton Hassell,1979,Clarksville,Tennessee,Austin Peay State University
Kirk Haston,1979,Loblesville,Tennessee,Indiana University
Brendan Haywood,1979,New York,New York,University of North Carolina
Terence Morris,1979,Frederick,Maryland,University of Maryland
Norm Richardson,1979,Brooklyn,New York,Hofstra University
Jeryl Sasser,1979,Dallas,Texas,Southern Methodist University
Jeff Trepagnier,1979,Los Angeles,California,University of Southern California
Ratko Varda,1979,Bosanska Gradiska,Bosnia and Herzegovina,
Earl Watson,1979,Kansas City,Kansas,"University of California, Los Angeles"
Lonny Baxter,1979,Silver Spring,Maryland,University of Maryland
Rasual Butler,1979,Philadelphia,Pennsylvania,La Salle University
Ryan Humphrey,1979,Tulsa,Oklahoma,University of Notre Dame
Fred Jones,1979,Malvern,Arkansas,University of Oregon
Sean Lampley,1979,Harvey,Illinois,University of California
Ronald Murray,1979,Philadelphia,Pennsylvania,Shaw University
Mehmet Okur,1979,Yalova,Turkey,
Chris Owens,1979,Akron,Ohio,University of Texas at Austin
Jannero Pargo,1979,Chicago,Illinois,University of Arkansas
John Salmons,1979,Philadelphia,Pennsylvania,University of Miami
Cezary Trybanski,1979,Warsaw,Poland,
Mike Wilks,1979,Milwaukee,Wisconsin,Rice University
Britton Johnsen,1979,Salt Lake City,Utah,University of Utah
Keith McLeod,1979,Canton,Ohio,Bowling Green State University
Maurice Baker,1979,Granite City,Illinois,Oklahoma State University
Tony Bobbitt,1979,Daytona,Florida,University of Cincinnati
Corsley Edwards,1979,Baltimore,Maryland,Central Connecticut State University
Andres Nocioni,1979,Santa Fe,Argentina,
Kevin Burleson,1979,Seattle,Washington,University of Minnesota
Anthony Grundy,1979,Louisville,Kentucky,North Carolina State University
Randy Holcomb,1979,Chicago,Illinois,San Diego State University
Lynn Greer,1979,Philadelphia,Pennsylvania,Temple University
Walter Herrmann,1979,Venado Tuerto,Argentina,
Brice Johnson,1979,Salt Lake City,Utah,University of Utah
Al Harrington,1980,Orange,New Jersey,
Bruno Sundov,1980,Split,Croatia,
Dalibor Bagaric,1980,Croatia,,
Jamal Crawford,1980,Seattle,Washington,University of Michigan
Keyon Dooling,1980,Ft. Lauderdale,Florida,University of Missouri
Donnell Harvey,1980,Shellman,Georgia,University of Florida
Mike Miller,1980,Mitchell,South Dakota,University of Florida
Quentin Richardson,1980,Chicago,Illinois,DePaul University
Brandon Armstrong,1980,San Francisco,California,Pepperdine University
Jamison Brewer,1980,East Point,Georgia,Auburn University
Pau Gasol,1980,Barcelona,Spain,
Richard Jefferson,1980,Los Angeles,California,University of Arizona
Troy Murphy,1980,Morristown,New Jersey,University of Notre Dame
Vladimir Radmanovic,1980,Trebinje Srpska-Bih,Bosnia and Herzegovina,
Bobby Simmons,1980,Chicago,Illinois,DePaul University
Leon Smith,1980,Chicago,Illinois,
Robert Archibald,1980,Paisley,United Kingdom,University of Illinois at Urbana-Champaign
Caron Butler,1980,Racine,Wisconsin,University of Connecticut
Reggie Evans,1980,Pensacola,Florida,University of Iowa
Marcus Haislip,1980,Lewisburg,Tennessee,University of Tennessee
Adam Harrington,1980,Bernardston,Massachusetts,Auburn University
Junior Harrington,1980,Wagram,North Carolina,Wingate University
Chris Jefferies,1980,Fresno,California,"California State University, Fresno"
Roger Mason,1980,Washington,District of Columbia,University of Virginia
Yao Ming,1980,Shanghai,China,
Bostjan Nachbar,1980,Slovenj Gradec,Slovenia,
Tayshaun Prince,1980,Compton,California,University of Kentucky
Kareem Rush,1980,Kansas City,Missouri,University of Missouri
Tamar Slay,1980,Beckley,West Virginia,Marshall University
Jiri Welsch,1980,Pardubice,Czech Republic,
Jerome Beasley,1980,Compton,California,University of North Dakota
Troy Bell,1980,Minneapolis,Minnesota,Boston College
Steve Blake,1980,Hollywood,Florida,University of Maryland
Keith Bogans,1980,Alexandria,Virginia,University of Kentucky
Curtis Borchardt,1980,Buffalo,New York,Stanford University
Matt Carroll,1980,Pittsburgh,Pennsylvania,University of Notre Dame
Brian Cook,1980,Lincoln,Illinois,University of Illinois at Urbana-Champaign
Alex Garcia,1980,Orlandia,Brazil,
Udonis Haslem,1980,Miami,Florida,University of Florida
Josh Howard,1980,Winston-Salem,North Carolina,Wake Forest University
Brandon Hunter,1980,Cincinnati,Ohio,Ohio University
Linton Johnson,1980,Chicago,Illinois,Tulane University
Raul Lopez,1980,Vic,Spain,
Kirk Penney,1980,Auckland,New Zealand,University of Wisconsin
Theron Smith,1980,Bartow,Florida,Ball State University
Luke Walton,1980,San Diego,California,University of Arizona
David West,1980,Teaneck,New Jersey,Xavier University
Rafael Araujo,1980,Curitiba,Brazil,Brigham Young University
Matt Bonner,1980,Concord,New Hampshire,University of Florida
Antonio Burks,1980,Memphis,Tennessee,University of Memphis
Lionel Chalmers,1980,Albany,New York,Xavier University
Nick Collison,1980,Orange City,Iowa,University of Kansas
Mario Kasun,1980,Split,Croatia,
Bernard Robinson,1980,Washington,District of Columbia,University of Michigan
Yuta Tabuse,1980,Yokohama,Japan,Brigham Young University Hawaii
Arvydas Macijauskas,1980,Klaipeda,Lithuania,
Andre Owens,1980,Indianapolis,Indiana,University of Houston
Jamario Moon,1980,Goodwater,Alabama,Meridian Community College
Juan Carlos,1980,,,
Luis Scola,1980,Buenos Aires,Argentina,
Jonathan Bender,1981,Picayune,Mississippi,
Darius Miles,1981,Belleville,Illinois,
Olumide Oyedeji,1981,Ibadan,Nigeria,
DeShawn Stevenson,1981,Fresno,California,
Kedrick Brown,1981,Zachary,Louisiana,Okaloosa-Walton Community College
Samuel Dalembert,1981,Port-Au-Prince,Haiti,Seton Hall University
Joseph Forte,1981,Atlanta,Georgia,University of North Carolina
Antonis Fotsis,1981,Athens,Greece,
Steven Hunter,1981,Chicago,Illinois,DePaul University
Andrei Kirilenko,1981,Izhevsk,Russia,
Zach Randolph,1981,Marion,Indiana,Michigan State University
Jason Richardson,1981,Saginaw,Michigan,Michigan State University
Kenny Satterfield,1981,New York,New York,University of Cincinnati
Carlos Boozer,1981,Aschaffenburg,Germany,Duke University
J.R. Bremer,1981,,,
Drew Gooden,1981,Oakland,California,University of Kansas
Casey Jacobsen,1981,Glendora,California,Stanford University
Jared Jeffries,1981,Bloomington,Indiana,Indiana University
Tito Maddox,1981,Compton,California,"California State University, Fresno"
Smush Parker,1981,New York,New York,Fordham University
Qyntel Woods,1981,Memphis,Tennessee,Northeast Mississippi Community College
Vincent Yarbrough,1981,Cleveland,Tennessee,University of Tennessee
Marcus Banks,1981,Las Vegas,Nevada,"University of Nevada, Las Vegas"
Zarko Cabarkapa,1981,Zrenjanin,Serbia,
Marquis Daniels,1981,Jasper,Florida,Auburn University
Ronald Dupree,1981,Biloxi,Mississippi,Louisiana State University
Hiram Fuller,1981,East St. Louis,Missouri,"California State University, Fresno"
Reece Gaines,1981,Madison,Wisconsin,University of Louisville
Willie Green,1981,Detroit,Michigan,University of Detroit Mercy
Jarvis Hayes,1981,Atlanta,Georgia,University of Georgia
Kirk Hinrich,1981,Sioux City,Iowa,University of Kansas
Jason Kapono,1981,Long Beach,California,"University of California, Los Angeles"
Kyle Korver,1981,Lakewood,California,Creighton University
Desmond Penigar,1981,Upland,California,Utah State University
Luke Ridnour,1981,Coeur d'Alene,Idaho,University of Oregon
John Edwards,1981,Warren,Ohio,Kent State University
Luis Flores,1981,San Pedro de Macoris,Dominican Republic,Manhattan College
Matt Freije,1981,Overland Park,Kansas,Vanderbilt University
Royal Ivey,1981,Harlem,New York,University of Texas at Austin
Quinton Ross,1981,Dallas,Texas,Southern Methodist University
Pape Sow,1981,Dakar,Senegal,"California State University, Fullerton"
Jackson Vroman,1981,Laguna,California,Iowa State University
Earl Barron,1981,Clarksdale,Mississippi,University of Memphis
Jose Calderon,1981,Villanueva de la Serena,Spain,
Noel Felix,1981,Los Angeles,California,"California State University, Fresno"
Francisco Garcia,1981,Santo Domingo,Dominican Republic,University of Louisville
Melvin Sanders,1981,Liberal,Kansas,Oklahoma State University
James Singleton,1981,Chicago,Illinois,Murray State University
Derrick Zimmerman,1981,Monroe,Louisiana,Mississippi State University
Andre Brown,1981,Chicago,Illinois,DePaul University
Desmon Farmer,1981,Flint,Michigan,University of Southern California
Andreas Glyniadakis,1981,Hania,Greece,
Lance Allred,1981,Salt Lake City,Utah,Weber State University
Kasib Powell,1981,Teaneck,New Jersey,Texas Tech University
Anthony Brown,1981,Chicago,Illinois,DePaul University
Gilbert Arenas,1982,Los Angeles,California,University of Arizona
Kwame Brown,1982,Charleston,South Carolina,
Tyson Chandler,1982,Hanford,California,
Eddy Curry,1982,Harvey,Illinois,
DeSagana Diop,1982,Dakar,Senegal,
Eddie Griffin,1982,Philadelphia,Pennsylvania,Seton Hall University
Tony Parker,1982,Bruges,Belgium,
Gerald Wallace,1982,Sylacauga,Alabama,University of Alabama
Nene Hilario,1982,Sao Carlos,Brazil,
Amar'e Stoudemire,1982,Lake Wales,Florida,
Chris Wilcox,1982,Raleigh,North Carolina,University of Maryland
Leandro Barbosa,1982,San Paulo,Brazil,
Omar Cook,1982,Brooklyn,New York,St. John's University
Boris Diaw,1982,Cormeille-en-Parisis,France,
Chris Kaman,1982,Wyoming,Michigan,Central Michigan University
Mickael Pietrus,1982,Les Abymes,Guadeloupe,
Zoran Planinic,1982,Mostar,Bosnia and Herzegovina,
Mike Sweetney,1982,Oxon Hill,Maryland,Georgetown University
Dwyane Wade,1982,Chicago,Illinois,Marquette University
Tony Allen,1982,Chicago,Illinois,Oklahoma State University
Andre Barrett,1982,Bronx,New York,Seton Hall University
Erik Daniels,1982,Cincinnati,Ohio,University of Kentucky
Carlos Delfino,1982,Santa Fe,Argentina,
Chris Duhon,1982,Mamou,Louisiana,Duke University
Andre Emmett,1982,Dallas,Texas,Texas Tech University
David Harrison,1982,Nashville,Tennessee,University of Colorado
Viktor Khryapa,1982,Kiev,Ukraine,
Jameer Nelson,1982,Chester,Pennsylvania,Saint Joseph's University
Emeka Okafor,1982,Houston,Texas,University of Connecticut
Justin Reed,1982,Jackson,Mississippi,University of Mississippi
Jared Reiner,1982,Tripp,South Dakota,University of Iowa
Beno Udrih,1982,Celje,Slovenia,
Anderson Varejao,1982,Santa Teresa,Brazil,
Alan Anderson,1982,Minneapolis,Minnesota,Michigan State University
Travis Diener,1982,Fond du Lac,Wisconsin,Marquette University
Gerald Fitch,1982,Columbus,Georgia,University of Kentucky
Deng Gai,1982,Wow,South Sudan,Fairfield University
Ryan Gomes,1982,Waterbury,Connecticut,Providence College
Joey Graham,1982,Wilmington,Delaware,Oklahoma State University
Stephen Graham,1982,Wilmington,Delaware,Oklahoma State University
Devin Green,1982,Columbus,Ohio,Hampton University
Orien Greene,1982,Gainesville,Florida,University of Louisiana at Lafayette
Luther Head,1982,Chicago,Illinois,University of Illinois at Urbana-Champaign
Rawle Marshall,1982,Georgetown,Guyana,Oakland University
Lawrence Roberts,1982,Houston,Texas,Mississippi State University
Luke Schenscher,1982,Hope Forest,Australia,Georgia Institute of Technology
Salim Stoudamire,1982,Portland,Oregon,University of Arizona
Donell Taylor,1982,Washington,District of Columbia,University of Alabama at Birmingham
Matt Walsh,1982,Holland,Pennsylvania,University of Florida
Hakim Warrick,1982,Philadelphia,Pennsylvania,Syracuse University
Robert Whaley,1982,Benton Harbor,Michigan,Walsh University
Marvin Williams,1982,Jackson,Mississippi,University of Alabama
Lou Amundson,1982,Ventura,California,"University of Nevada, Las Vegas"
Will Conroy,1982,Portland,Oregon,University of Washington
Yakhouba Diawara,1982,Paris,France,Pepperdine University
Renaldo Major,1982,Chicago,Illinois,"California State University, Fresno"
Ivan McFarlin,1982,Missouri City,Texas,Oklahoma State University
Vassilis Spanoulis,1982,Larissa,Greece,
Marcus Williams,1982,Jackson,Mississippi,University of Alabama
Joel Anthony,1982,Montreal,Canada,"University of Nevada, Las Vegas"
Stephane Lasme,1982,Port-Gentil,Gabon,University of Massachusetts Amherst
Pero Antic,1982,Skopje,FYR Macedonia,
Jamal Sampson,1983,Inglewood,California,University of California
Nikoloz Tskitishvili,1983,Tbilisi,Georgia,
Slavko Vranes,1983,Belgrade,Serbia,
Josh Childress,1983,Harbor City,California,Stanford University
Ben Gordon,1983,London,United Kingdom,University of Connecticut
Devin Harris,1983,Milwaukee,Wisconsin,University of Wisconsin
Nenad Krstic,1983,Kraljevo,Serbia,
Kirk Snyder,1983,Los Angeles,California,"University of Nevada, Reno"
Delonte West,1983,Washington,District of Columbia,Saint Joseph's University
Alex Acker,1983,Compton,California,Pepperdine University
Eddie Basden,1983,New York,New York,University of North Carolina at Charlotte
Esteban Batista,1983,Montevideo,Uruguay,
Will Bynum,1983,Chicago,Illinois,Georgia Institute of Technology
Ike Diogu,1983,Buffalo,New York,Arizona State University
Daniel Ewing,1983,Milton,Florida,Duke University
Channing Frye,1983,White Plains,New York,University of Arizona
Danny Granger,1983,New Orleans,Louisiana,University of New Mexico
Chuck Hayes,1983,San Leandro,California,University of Kentucky
Julius Hodge,1983,New York,New York,North Carolina State University
Jarrett Jack,1983,Fort Washington,Maryland,Georgia Institute of Technology
Jason Maxiell,1983,Chicago,Illinois,University of Cincinnati
Aaron Miles,1983,Portland,Oregon,University of Kansas
C.J. Miles,1983,,,
Sergei Monia,1983,Saratov,Russia,
Josh Powell,1983,Charleston,South Carolina,North Carolina State University
Ronnie Price,1983,Friendswood,Texas,Utah Valley State College
Shavlik Randolph,1983,Raleigh,North Carolina,Duke University
Wayne Simien,1983,Leavenworth,Kansas,University of Kansas
Dijon Thompson,1983,Los Angeles,California,"University of California, Los Angeles"
Ronny Turiaf,1983,Le Robert,Martinique,Gonzaga University
Kelenna Azubuike,1983,London,United Kingdom,University of Kentucky
Will Blalock,1983,Boston,Massachusetts,Iowa State University
Cedric Bozeman,1983,Los Angeles,California,"University of California, Los Angeles"
Randy Foye,1983,Newark,New Jersey,Villanova University
Mickael Gelabale,1983,Pointe Noire,Guadeloupe,
Alexander Johnson,1983,Albany,Georgia,Florida State University
James Lang,1983,Mobile,Alabama,
Pops Mensah-Bonsu,1983,London,United Kingdom,George Washington University
Steve Novak,1983,Libertyville,Illinois,Marquette University
Kevinn Pinkney,1983,Colton,California,"University of Nevada, Reno"
Roger Powell,1983,Joliet,Illinois,University of Illinois at Urbana-Champaign
Chris Quinn,1983,New Orleans,Louisiana,University of Notre Dame
Uros Slokar,1983,Ljubljana,Slovenia,
Craig Smith,1983,Inglewood,California,Boston College
Mike Harris,1983,Hillsboro,Texas,Rice University
Coby Karl,1983,Great Falls,Montana,Boise State University
Carl Landry,1983,Milwaukee,Wisconsin,Purdue University
Keith Langford,1983,Fort Worth,Texas,University of Kansas
Courtney Sims,1983,Roslindale,Massachusetts,University of Michigan
Al Thornton,1983,Perry,Georgia,Florida State University
Joey Dorsey,1983,Baltimore,Maryland,University of Memphis
Dontell Jefferson,1983,Lithonia,Georgia,University of Arkansas
Eugene Jeter,1983,Los Angeles,California,University of Portland
Larry Owens,1983,Mesa,Arizona,Oral Roberts University
Carldell Johnson,1983,New Orleans,Louisiana,University of Alabama at Birmingham
JaKarr Sampson,1983,Inglewood,California,University of California
Marcelo Huertas,1983,Sao Paulo,Brazil,
Carmelo Anthony,1984,New York,New York,Syracuse University
Chris Bosh,1984,Dallas,Texas,Georgia Institute of Technology
Ndudi Ebi,1984,London,United Kingdom,
LeBron James,1984,Akron,Ohio,
Travis Outlaw,1984,Starkville,Mississippi,
Zaza Pachulia,1984,Tbilisi,Georgia,
Sasha Pavlovic,1984,,,
Kendrick Perkins,1984,Nederland,Texas,
Andre Iguodala,1984,Springfield,Illinois,University of Arizona
Didier Ilunga-Mbenga,1984,,,
Sasha Vujacic,1984,Maribor,Slovenia,
Andrew Bogut,1984,Melbourne,Australia,University of Utah
Raymond Felton,1984,Marion,South Carolina,University of North Carolina
Sean May,1984,Chicago,Illinois,University of North Carolina
Rashad McCants,1984,Asheville,North Carolina,University of North Carolina
Nate Robinson,1984,Seattle,Washington,University of Washington
Charlie Villanueva,1984,Queens,New York,University of Connecticut
