title,episodeNumber,year,director
A New Hope,4,1977,George Lucas
The Empire Strikes Back,5,1980,Irvin Kershner
Return of the Jedi,6,1983,Richard Marquand
The Phantom Menace,1,1999,George Lucas
Attack of the Clones,2,2002,George Lucas
Revenge of the Sith,3,2005,George Lucas
The Force Awakens,7,2015,J. J. Abrams
The Last Jedi,8,2017,Rian Johnson
The Rise of Skywalker,9,2019,J. J. Abrams
