nom,latitude,longitude
Paris,48.866667,2.333333
Marseille,43.300000,5.400000
Lyon,45.750000,4.850000
Toulouse,43.600000,1.433333
Nice,43.700000,7.250000
Nantes,47.216667,-1.550000
Montpellier,43.600000,3.883333
Strasbourg,48.583333,7.750000
Bordeaux,44.833333,-0.566667
Lille,50.633333,3.066667
